Issue Type,Summary,Description,Epic Link,Epic Name,Acceptance Criteria,Sprint Suggestion
Epic,Foundations,"Data discovery, environment setup, profiling, and groundwork for all subsequent work.",,Foundations,,
Epic,Build the populations,"Find the payment processes (step 2), the JUNO payment controls (step 4), the bespoke controls (step 5), and run the convergence loop (step 6).",,Build the populations,,
Epic,Classification,"Classify Payment Nature on processes (step 3), Payment Nature on controls (step 7), Master Controls (step 8), and lifecycle stage (step 9).",,Classification,,
Epic,Bridge table,Compose all upstream outputs into the master analytical bridge table (step 10).,,Bridge table,,
Epic,Analytical outputs,"Produce the eight outputs in step 11: coverage heatmaps, strengthen view, duplicates, governance controls, gap register, registration backlog, obligations coverage, monitoring baseline.",,Analytical outputs,,
Epic,Validation and audit,Independent LRM validation gates across all LLM-driven steps (step 12) plus the audit trail capture.,,Validation and audit,,
Story,Provision LLM-capable analytics tooling and verify access,"Provision access to LLM-capable analytics tooling (such as Amp Code) supporting at least two different model families, alongside the existing SAS and Teradata environment. Verify both models are reachable and a basic prompt-response round trip works.",Foundations,,"1. Two different model families accessible from the analytics environment
2. Sample prompt returns structured JSON output from both models
3. Tooling access is documented and reproducible by another team member",Sprint 1
Story,Ingest and profile JUNO control register,"Pull the full JUNO control universe via Teradata SQL pass-through. Profile row count, column distributions, null rates on key fields (CTRL_ID, risk_library_id, control type, automation level, owner, effectiveness ratings, status), and identify orphan keys.",Foundations,,"1. JUNO extract loaded into SAS staging
2. Profile report generated covering all key columns
3. Orphan keys (if any) documented with downstream impact assessment",Sprint 1
Story,Ingest and profile Holocentric process repository,"Load the full Holocentric process universe (CSV extracts) into SAS. Profile L2 / L3 hierarchies, value stream coverage, step descriptions, application references. Verify join keys reconcile to JUNO via the linkage table.",Foundations,,"1. Holocentric extract loaded into SAS staging
2. Profile report covering hierarchy, value streams, applications
3. Join-key reconciliation confirmed against JUNO and linkage table",Sprint 1
Story,"Ingest and profile linkage tables, obligations, incidents, issues","Load the four linkage tables (Control to Process, Obligation, Incident, Issue) plus the underlying Obligations, Incidents, Issues datasets. Profile and verify key resolution.",Foundations,,"1. All four linkage tables and supporting datasets loaded
2. Profile report covering linkage densities, severities, payment-relevant subsets
3. Join paths verified end-to-end",Sprint 1
Story,Ingest and profile ALEX and Alfabet (if available),"Load ALEX and Alfabet extracts. Identify payment-relevant applications, configuration metadata, role definitions. If ALEX configuration data is unavailable, document the gap and its impact on step 5 stream B.",Foundations,,"1. ALEX and Alfabet extracts loaded or gap formally documented
2. Payment-relevant application list extracted
3. Configuration data availability assessed for downstream step 5 stream B",Sprint 1
Story,Produce consolidated schema dictionary and data discovery report,"Combine the per-source profiling outputs into a single schema dictionary covering all data sources used in the PoC. Produce a one-page data discovery summary highlighting surprises, gaps, and downstream risks.",Foundations,,"1. Consolidated schema dictionary covers all sources with field-level detail
2. Data discovery summary signed off by lead engineer
3. Any go / no-go calls for downstream steps documented",Sprint 1
Story,Design and version-control the prompt library for LLM steps,"Draft initial prompts for the six LLM-driven steps (2, 3, 5, 7, 8, 9). Each prompt includes inputs, expected JSON schema, confidence rubric, and rationale-grounding requirement. Prompts stored in version control with a hash captured for audit.",Foundations,,"1. Initial prompts drafted for steps 2, 3, 5, 7, 8, 9
2. Each prompt has a defined JSON output schema
3. Prompt versioning mechanism in place (hash recorded per prompt)",Sprint 2
Story,Build the audit trail capture framework,"Implement the audit trail records table per the runbook. Every LLM call writes prompt version, model ID, run timestamp, input snapshot hash, raw response, parsed result, and pass number (where applicable) to a SAS dataset. Framework is reusable across all LLM steps.",Foundations,,"1. Audit trail table schema defined and created
2. All required fields captured for a test LLM call
3. Re-running any logged decision is demonstrated to be possible",Sprint 2
Story,"Implement step 2 deterministic inclusion paths (PP1, PP2, PP3, PP5)","Build the deterministic Holocentric inclusion paths in parallel. PP1 hierarchy, PP2 value stream, PP3 application linkage, PP5 keyword (SAS regex). Output the first-pass payment process register with paths fired and confidence rollup.",Build the populations,,"1. All four deterministic paths execute against the full Holocentric universe
2. Output dataset records all paths fired per process plus primary path and confidence
3. Audit log accounts for every Holocentric L3 activity",Sprint 2
Story,Implement step 2 PP6 embedding-based inclusion path,Compute embeddings for every Holocentric process description. Identify the high-confidence core (PP1 to PP3). Compute cosine similarity to the core; calibrate the threshold; surface candidate processes above threshold not already included.,Build the populations,,"1. Embeddings generated for the full Holocentric universe
2. Calibration sample reviewed and similarity threshold set
3. Candidate processes routed to SME queue (not auto-included)",Sprint 3
Story,"Implement step 4 deterministic inclusion paths (P1, P3, P4, P5)","Build the deterministic JUNO control inclusion paths in parallel via Teradata SQL pass-through. P1 taxonomy tag (7.4.x), P3 obligation linkage, P4 incident/issue linkage, P5 keyword. Output the first-pass JUNO payment control population.",Build the populations,,"1. All four deterministic paths execute against the full JUNO universe
2. Output dataset records all paths fired per control plus primary path and confidence
3. Taxonomy hygiene finding produced (proportion via paths other than P1)",Sprint 2
Story,Implement step 4 P6 embedding-based inclusion path,"Compute embeddings for every JUNO control description. Identify high-confidence core (P1 to P3). Compute similarity; calibrate; surface candidate controls. Apply enrichment signals (owner clustering, process-adjacency) to order the SME queue.",Build the populations,,"1. Embeddings generated for the full JUNO universe
2. Threshold calibrated via sample review
3. SME queue ordered by enrichment-signal score",Sprint 3
