Issue Type,Summary,Description,Epic Link,Epic Name,Acceptance Criteria,Sprint Suggestion
Epic,Foundations,"Data discovery, environment setup, profiling, and groundwork for all subsequent work. Includes LLM tooling provisioning, schema profiling across all sources (JUNO, Holocentric, ALEX, Alfabet, linkages), prompt library setup, and audit trail framework implementation.",,Foundations,,
Epic,Build the populations,"Find the payment processes (step 2), the JUNO payment controls (step 4), the bespoke controls (step 5), and run the convergence loop (step 6). Includes deterministic inclusion paths, embedding-based similarity paths, fuzzy matching infrastructure, and SME queue construction.",,Build the populations,,
Epic,Classification,"Classify Payment Nature on processes (step 3), Payment Nature on controls (step 7), Master Controls CT1–CT28 (step 8), and lifecycle stage A–G (step 9). All LLM-driven with structured JSON outputs, confidence scoring, and rationale grounding.",,Classification,,
Epic,Bridge table,"Compose all upstream outputs into the master analytical bridge table (step 10). Single SAS dataset with process × control × CT × Payment Nature × lifecycle stage schema. Indexed for query performance. All step 11 outputs query this table.",,Bridge table,,
Epic,Analytical outputs,"Produce the eight outputs in step 11: coverage heatmaps (three cuts), strengthen view, duplicates with best of breed, governance controls misclassified, gap register (six types), JUNO registration backlog, obligations coverage, monitoring baseline. Pure SAS queries over the bridge table.",,Analytical outputs,,
Epic,Validation and audit,"SME-led validation gates across all LLM-driven steps (2, 3, 5, 7, 8, 9). SMEs from Line 1 Risk and Compliance construct golden sets and adjudicate disagreements. Independent LRM verifies at scale; disagreements queue to SME. Requires Human Review queue is SME-owned. Audit trail captured per AI decision with prompt hash, model ID, timestamp, input hash, raw response.",,Validation and audit,,
Story,Provision LLM-capable analytics tooling and verify access,"Provision access to LLM-capable analytics tooling (Amp Code or similar) supporting at least two different model families (e.g., Claude Sonnet 4 + Gemini 1.5 Pro), alongside existing SAS and Teradata environment. Verify both models are reachable, structured JSON output works, and credential storage is secure. Document access patterns in code config file. This is foundational: all LLM-driven steps (2, 3, 5, 7, 8, 9) depend on this infrastructure.",Foundations,,"1. Two different model families accessible from analytics environment (test via API ping; one family for primary work, one for independent LRM verification)
2. Sample prompt returns structured JSON output from both models (test with step 3 Payment Nature schema; validate JSON parsing works)
3. Tooling access credentials stored in 02_code/python/llm_orchestration/config.py with secure credential management (no hardcoded API keys; use environment variables or secret manager)
4. Rate limiting and retry logic implemented in 02_code/python/llm_orchestration/prompt_executor.py",Sprint 1
Story,Ingest and profile JUNO control register,"Pull the full JUNO control universe via Teradata SQL pass-through into SAS staging. Profile: row count, CTRL_ID uniqueness, risk_library_id distribution (what % are 7.4.x Payments vs other taxonomies), null rates on key fields (control_type, automation_level, owner_business_unit, effectiveness_rating, operating_effectiveness, design_effectiveness, status), and identify orphan CTRL_IDs (controls referenced in linkage tables but missing from JUNO master). Output comprehensive profile report and staging dataset ready for downstream use.",Foundations,,"1. JUNO extract loaded into 03_data/staging/juno_staging.sas7bdat via Teradata pass-through (run 02_code/sql/teradata_passthrough/step01_juno_profile.sql then materialise to SAS dataset)
2. Profile report generated covering: total row count, CTRL_ID uniqueness check (should be 100% unique), risk_library_id distribution with count and % per taxonomy family (focus on 7.4.x Payments proportion), null rates on control_type/automation_level/owner_business_unit/effectiveness_rating/status, orphan key analysis (CTRL_IDs in linkage tables not present in JUNO master)
3. Orphan keys (if any) documented with count, example CTRL_IDs, and downstream impact assessment (which linkage paths affected; if orphan rate >5%, escalate to data quality workstream)
4. Output saved to 00_documentation/juno_profile_report.html with summary statistics table and distributions",Sprint 1
Story,Ingest and profile Holocentric process repository,"Load the full Holocentric process universe (CSV extracts covering L2 processes and L3 activities) into SAS. Profile: L2/L3 hierarchy completeness (what % of L3 activities have a parent L2), value stream coverage (which value streams are represented and their activity counts), step-level description null rate (critical for LLM workload in steps 2 and 5), application references (join to Alfabet application IDs). Verify join keys reconcile to JUNO via the Control↔Process linkage table. Build schema dictionary entry for Holocentric with field-level detail.",Foundations,,"1. Holocentric extract loaded into 03_data/staging/holocentric_staging.sas7bdat from 03_data/raw/holocentric_processes_YYYYMMDD.csv (run 02_code/sas/step01_profile_and_load.sas Holocentric section)
2. Profile report covering: total L2 process count, total L3 activity count, L2→L3 hierarchy completeness (% of L3 with valid parent L2), value stream coverage (distinct value streams + activity count per stream), step-level description null rate (should be <10% for LLM workload; if >20%, flag as data quality issue), application linkage density (% of activities with ≥1 application reference)
3. Join-key reconciliation: BUS_UNIT_BCRM_ID in Holocentric → l3_activity_id or l2_process_id in linkage_ctrl_proc table; measure coverage (% of Holocentric IDs resolvable in linkage table; expect 40–70% coverage as not all processes have linked controls)
4. Schema dictionary updated: 00_documentation/schema_dictionary.xlsx with new sheet for Holocentric covering all fields with data type, null rate, example values, downstream usage notes",Sprint 1
Story,"Ingest and profile linkage tables, obligations, incidents, issues","Load the four linkage tables (Control↔Process, Control↔Obligation, Control↔Incident, Control↔Issue) via Teradata pass-through, plus the underlying Obligations, Incidents, Issues datasets. Profile linkage densities (what % of CTRL_IDs have at least one link per table), incident severity distribution (P1/P2/P3 breakdown), issue age distribution (open >90 days, >180 days), and obligation source distribution (NPP, BECS, RBA, ePayments Code, AUSTRAC). Verify end-to-end join paths for each linkage type. Flag payment-relevant subsets for downstream filtering (e.g., incidents tagged to 7.4.x controls or processes in payment value streams).",Foundations,,"1. All four linkage tables loaded: 03_data/staging/linkage_ctrl_proc.sas7bdat, linkage_ctrl_oblig.sas7bdat, linkage_ctrl_incident.sas7bdat, linkage_ctrl_issue.sas7bdat (run 02_code/sql/teradata_passthrough/step01_linkage_profile.sql for each)
2. Supporting datasets loaded: 03_data/staging/obligations_staging.sas7bdat, incidents_staging.sas7bdat, issues_staging.sas7bdat
3. Profile report covering: linkage density per table (% of CTRL_IDs with ≥1 link; expect 30–60% for process, 10–30% for obligation, 5–20% for incident/issue), incident severity distribution (count and % per P1/P2/P3 severity), issue age distribution (median age in days, count >90 days, count >180 days), obligation source distribution (count per regulation: NPP/BECS/RBA/ePayments Code/AUSTRAC)
4. Join paths verified end-to-end: for each linkage type, sample 5 CTRL_IDs and trace through to final entity (process/obligation/incident/issue) confirming foreign keys resolve
5. Payment-relevant subset flagged: incidents/issues linked to 7.4.x controls or to processes in payment value streams; count documented for step 5c scoping",Sprint 1
